Flow 60,Head 60,Overall Eff 60,Power input 60,Flow 55,Head 55,Overall Eff 55,Power input 55,Flow 50,Head 50,Overall Eff 50,Power input 50,Flow 45,Head 45,Overall Eff 45,Power input 45,Flow 40,Head 40,Overall Eff 40,Power input 40
0.00,10.96,0.01,2.14,0.00,10.24,0.01,1.93,0.00,8.46,0.01,1.47,0,6.85,0.01,1.11,0,5.41,0.01,0.84
1.25,10.44,6.06,2.11,1.21,9.75,6.06,1.91,1.10,8.06,5.96,1.46,0.99,6.53,5.73,1.1,0.88,5.16,5.34,0.83
2.49,10.03,11.64,2.11,2.41,9.36,11.64,1.90,2.19,7.74,11.46,1.45,1.97,6.27,11.01,1.1,1.75,4.95,10.25,0.83
3.74,9.69,16.74,2.12,3.61,9.04,16.73,1.91,3.28,7.47,16.48,1.46,2.96,6.05,15.86,1.11,2.63,4.78,14.75,0.83
4.98,9.38,21.36,2.15,4.82,8.76,21.37,1.93,4.38,7.24,21.06,1.47,3.94,5.86,20.27,1.12,3.5,4.63,18.89,0.84
6.23,9.10,25.56,2.18,6.02,8.50,25.57,1.96,5.47,7.02,25.24,1.49,4.92,5.69,24.32,1.13,4.38,4.5,22.68,0.85
7.48,8.84,29.36,2.21,7.22,8.25,29.39,1.99,6.57,6.82,29.03,1.51,5.91,5.52,28.01,1.14,5.25,4.37,26.15,0.86
8.72,8.59,32.79,2.24,8.43,8.01,32.85,2.02,7.66,6.62,32.47,1.53,6.89,5.37,31.36,1.16,6.13,4.24,29.32,0.87
9.97,8.34,35.88,2.27,9.63,7.78,35.96,2.05,8.75,6.43,35.59,1.55,7.88,5.21,34.4,1.17,7,4.12,32.2,0.88
11.21,8.09,38.64,2.30,10.83,7.55,38.74,2.07,9.85,6.24,38.37,1.57,8.86,5.05,37.13,1.18,7.88,3.99,34.8,0.89
12.46,7.84,41.07,2.33,12.04,7.32,41.19,2.10,10.94,6.05,40.85,1.59,9.85,4.9,39.55,1.2,8.75,3.87,37.11,0.9
13.70,7.60,43.17,2.36,13.24,7.09,43.32,2.13,12.04,5.86,43.00,1.61,10.83,4.75,41.68,1.21,9.63,3.75,39.15,0.9
14.95,7.35,44.94,2.40,14.44,6.86,45.11,2.15,13.13,5.67,44.83,1.63,11.82,4.59,43.49,1.22,10.5,3.63,40.9,0.91
16.19,7.10,46.38,2.43,15.65,6.62,46.58,2.18,14.22,5.47,46.34,1.65,12.8,4.43,44.99,1.24,11.38,3.5,42.36,0.92
17.44,6.84,47.50,2.46,16.85,6.38,47.73,2.21,15.32,5.28,47.53,1.67,13.79,4.27,46.19,1.25,12.25,3.38,43.53,0.93
18.68,6.57,48.31,2.49,18.05,6.14,48.58,2.24,16.41,5.07,48.41,1.69,14.77,4.11,47.09,1.26,13.13,3.25,44.42,0.94
19.93,6.30,48.84,2.52,19.26,5.88,49.13,2.26,17.51,4.86,49.01,1.70,15.76,3.94,47.71,1.28,14,3.11,45.04,0.95
21.18,6.02,49.12,2.55,20.46,5.62,49.43,2.28,18.60,4.65,49.34,1.72,16.74,3.76,48.07,1.29,14.88,2.97,45.42,0.96
22.42,5.74,49.18,2.57,21.66,5.36,49.50,2.30,19.69,4.43,49.45,1.73,17.72,3.59,48.19,1.29,15.75,2.84,45.57,0.96
23.67,5.46,49.04,2.58,22.87,5.10,49.37,2.32,20.79,4.21,49.34,1.74,18.71,3.41,48.11,1.3,16.63,2.7,45.51,0.97
24.91,5.18,48.72,2.60,24.07,4.84,49.06,2.33,21.88,4.00,49.06,1.75,19.69,3.24,47.85,1.31,17.51,2.56,45.28,0.97
26.16,4.90,48.24,2.61,25.27,4.58,48.58,2.34,22.98,3.78,48.59,1.75,20.68,3.06,47.41,1.31,18.38,2.42,44.88,0.97
27.40,4.63,47.58,2.62,26.48,4.33,47.92,2.34,24.07,3.57,47.95,1.76,21.66,2.9,46.79,1.31,19.26,2.29,44.31,0.98
28.65,4.37,46.71,2.63,27.68,4.08,47.06,2.35,25.16,3.37,47.10,1.77,22.65,2.73,45.98,1.32,20.13,2.16,43.55,0.98
29.89,4.10,45.59,2.64,28.88,3.83,45.94,2.36,26.26,3.17,45.99,1.77,23.63,2.56,44.91,1.32,21.01,2.03,42.56,0.98
31.14,3.83,44.18,2.65,30.09,3.58,44.52,2.37,27.35,2.96,44.59,1.78,24.62,2.4,43.55,1.33,21.88,1.89,41.29,0.98
32.38,3.56,42.45,2.66,31.29,3.32,42.79,2.38,28.45,2.74,42.87,1.79,25.6,2.22,41.88,1.33,22.76,1.76,39.7,0.99
33.63,3.26,40.43,2.66,32.49,3.05,40.74,2.38,29.54,2.52,40.82,1.79,26.59,2.04,39.89,1.33,23.63,1.61,37.82,0.99
34.88,2.97,38.20,2.66,33.70,2.77,38.50,2.38,30.63,2.29,38.57,1.78,27.57,1.85,37.68,1.33,24.51,1.47,35.73,0.99
36.12,2.69,36.03,2.65,34.90,2.51,36.31,2.37,31.73,2.08,36.36,1.78,28.55,1.68,35.51,1.33,25.38,1.33,33.66,0.98
